CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"20 Boulevard Mar?chal Foch, 34250 Palavas-les-Flots, France",FR,Mediterranean Sea,750,,,20190518,Cleanup,,3.9278346999999996,43.52556829999999,3.9278346999999996,43.525568306513385,,30,,,9,3,,18,,,,,,,,,,96,,,,,5,5227,,,56,72,3,13,7,75,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,4,,,,,,12,,222,,,,,,,,,,,,202,,,,,2,,,,3,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,13,,,21,,,,,,,,,,,,,,,18,,2,,,,,,,,37,,,0
"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20190426,Monitoring,,12.083660175000357,55.69224469838412,12.084006600408221,55.69312055604343,,,2,,,,,,,,,1,,,,,,4,,2,,,,,,,3,,1,3,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,2,,18,,,3,,,5,,7,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone,Fil Burnu Beach (Anemone),TR,Black Sea,342,Rural,Pebbels,20190428,Cleanup,TR000001,29.11977134372477,41.19745041837314,29.11915256888569,41.194400339382355,2,459,,,132,72,24,85,4,13,9,,1,5,15,4,1,652,220,207,167,69,41,67,23,5,458,50,25,259,7,64,2,2,1,24,,,,,,,81,342,,22,4,5,,,7,,15,1,,1,39,,,,44,2,,26,,,1243,67,2197,10,,1,,4,,78,,,,26,,,1,,10,28,,5,70,3,3,,15,,,,,1,5,,,,,,29,,,,,,,,,,,,,,4,,,,,,,,,,1,8,104,1,2,45,,,1,,,2,,,7,5,55,8,,7,3,1,29,,,,,,,,,,,1
"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20200703,Monitoring,,12.083660175000357,55.69224469838412,12.084006600408221,55.69312055604343,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Surfrider Foundation Europe,"7 Avenue Jean Mermoz, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,150,,,20190320,Cleanup,,7.3370141,43.688344199999996,7.3370141,43.688344206495785,,17,,,15,22,,,,,85,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Anemone,Vama Veche (Anemone),RO,Black Sea,102,Rural,Sandy,20190916,Monitoring,RO000001,28.57783000020899,43.74860000011902,28.578289999618185,43.74773999987763,,,11,,1,,,1,,,,,,,,,,42,3,9,14,42,3,1402,3,,175,5,1,9,1,106,,,,,,,,,,,,11,,,,2,,,,,,,,,4,,,,,,,7,,,21,,,,,,,,1,24,,,,,27,,,,,,,,5,,1,,,,,,,,1,12,1,,,,2,,,10,,,2,,2,13,,,,29,4,,14,,,,2,,,,,,2,,10,45,,,,,,2,,,,,,,,,2,,,,,4,,,,,71,,4,1
Black Sea NGO Network || MELTEMI,Shkorpilovtsi,BG,Black Sea,162,Rural,Sandy,20191020,Monitoring,,27.89891667010446,42.955650000031035,27.899266669908844,42.954216670059786,,14,28,,18,14,,1,,,,,,,,,,198,,,,,,1422,,,64,,,,30,94,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,17,25,,,,30,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
"Aarhus University, Denmark ",MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20201001,Monitoring,,12.576667534348767,55.557674883681656,12.575087175880132,55.557611412989964,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,3,,,3,,,6,,3,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"-15, Av. Pinar, 13, 33417, Espagne",ES,North-east Atlantic Ocean,350,,,20190427,Cleanup,,-5.9367104,43.58807779999999,-5.9367104,43.58807780650663,,120,,,20,20,,4,,,15,,,,,,,300,,,,,2,100,,,20,50,2,10,20,50,,,,,,,,,,,,200,,,,200,,,1,,,,,,,,,,,4,,,,,1000,,200,,,,,,,,,,,,100,,,,,5,,,,,,,,,4,,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,0
gBqsPxAZ,Plage de la Mine,,North-east Atlantic Ocean,430,Near river mouth,Sandy,20190502,Cleanup,,-1.630031298265361,46.4178790355222,-1.6272653432847402,46.41451396181607,,22,2,,,,,4,,,,,,,,,,29,,,,,,32,,,41,,,,3,,,,,,,,,4,,,,175,,15,,,,,,,,,,,,,,,,,,3,252,,,,25,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,
Surfrider Foundation Europe,"1237 Route de la Barre, 40220 Tarnos, France",FR,North-east Atlantic Ocean,750,,,20190118,Cleanup,,-1.5191072,43.52975599999999,-1.5191072,43.52975600651293,,2280,,,,126,,936,,,,,,,,,,122,,,,,8,12,,,,,22,144,,6,,,,,,,,,,,,888,,,,,,,,,,,,,,,,,28,18,,,,,6,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,32,18,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,0
Surfrider Foundation Europe,"Murgita, Gipuzkoa, España",,Unknown,100,,,20191015,Monitoring,,-2.2236667,43.07562990000001,-2.2236667,43.07562990656178,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gBqsPxAZ,plage du sillon,,North-east Atlantic Ocean,3799,Urban,Other (mixed),20190710,Cleanup,,-1.982790526331963,48.67548073094071,-2.0217974221789694,48.65280854736354,,1,6,,1,1,,,,,,,,,,,,4,,,,,,90,,,1,,,,3,2,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
"Aarhus University, Denmark ",MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20190915,Monitoring,,12.576667534348767,55.557674883681656,12.575087175880132,55.557611412989964,,1,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,3,,,3,,2,,,,,,,,,,,,5,,1,,,,,,,,,,,1,,,,1,,,2,,,8,,7,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gBqsPxAZ,Esbjerg Strand,DK,North-east Atlantic Ocean,1044,Urban,Sandy,20191213,Cleanup,,8.398839259597667,55.49409951091066,8.4104701079911,55.48743770401203,,3,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Surfrider Foundation Europe,"142 Avenue Pierre Mend?s France, 13008 Marseille, France",,Mediterranean Sea,350,,,20191002,Cleanup,,5.375593500000001,43.254951199999994,5.375593500000001,43.25495120654253,,7,,,16,8,,60,,,3,,,,,,,16,,,,,,550,,,17,,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,4,,12,,,,,,,,4,,,0
Surfrider Foundation Europe,"8 Quai Admis en Chef Thomas, 35260 Cancale, France",FR,North-east Atlantic Ocean,150,,,20190519,Cleanup,,-1.8515289,48.6708229,-1.8515289,48.670822905932326,,35,,,,2,,15,,,12,,,,,,,6,,,,,,298,,,12,10,,6,5,1,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,11,,9,,,,,,,,,,,,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,35,,,,,,,,,,,,,,,97,,15,,,,,,,,545,,,0
